year,month,illnesses,deaths,hospitalizations,state,genus_species,contaminated_ingredient,serotype_or_genotype,etiology_status,location_of_preparation,food_vehicle
2004,11,2,0,0,Georgia,,,,,Restaurant - other or unknown type,
2008,12,30,0,0,Florida,Staphylococcus aureus,turkey; pork,,Confirmed,Caterer (food prepared off-site from where served),"turkey, smoked; ham"
2014,2,4,0,0,Michigan,,,,,Other (describe in remarks),"tortilla, unspecified"
1998,12,3,0,0,Maryland,,,,,Grocery store,
2006,2,2,1,1,Oregon,Listeria monocytogenes,,,Confirmed,,
2015,6,283,1,27,North Carolina,Salmonella enterica,pork,Typhimurium,Confirmed,Restaurant - Sit-down dining,"pork, bbq"
2003,1,2,,,Florida,,,,,Restaurant - other or unknown type,"pizza, meat"
2009,9,54,0,0,Maryland,Clostridium perfringens,,,Confirmed,Caterer (food prepared off-site from where served),"stew/chili, other"
1999,6,34,,,Michigan,,,,,,fruit salad
2010,5,53,0,1,Illinois,Norovirus,,,Suspected,Banquet Facility (food prepared and served on-site),caesar salad
2004,11,19,0,0,Wisconsin,Norovirus Genogroup I,,,Confirmed,Other (describe in remarks),"sandwich, submarine"
2008,7,3,0,0,Kansas,,,,,Restaurant - other or unknown type,
2002,9,28,0,0,Florida,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
1998,4,19,0,0,Hawaii,,,,,Restaurant - other or unknown type,
2008,8,111,0,1,Missouri,Norovirus Genogroup II; Norovirus Genogroup I,,unknown; ,Confirmed; Confirmed,Banquet Facility (food prepared and served on-site),
2002,12,80,0,0,Oregon,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2003,2,84,,,Texas,Shigella sonnei,,,Confirmed,Unknown,
2001,9,3,,,Florida,Ciguatoxin,,,Suspected,Private home/residence,"fish, grouper, unspecified"
1999,4,2,0,0,Florida,,,,,Restaurant - other or unknown type,
2009,7,2,0,0,Colorado,,,,,Restaurant - Sit-down dining,"ground beef, gravy, toast, egg dish"
2002,2,25,0,0,Pennsylvania,Norovirus Genogroup I,,,Suspected,Camp,
1999,5,6,,,Maryland,,,,,Private home/residence,pasta salad
2007,3,3,0,0,Kansas,,,,,Restaurant - other or unknown type,
2004,9,11,0,0,North Carolina,,,,,Restaurant - other or unknown type,"burrito, bean; rice, unspecified"
2007,4,2,0,2,Kansas,,,,,Restaurant - other or unknown type,
2007,4,2,,,Florida,,,,,Restaurant - other or unknown type,chow mein
1999,2,41,0,0,Maine,,,,,School/college/university,
1998,8,3,,,Maryland,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,
2012,1,3,0,0,California,Norovirus unknown,,,Confirmed,,
2003,12,2,,,Florida,,,,,Restaurant - other or unknown type,"chicken, nuggets/fingers"
2012,3,5,0,0,Michigan,,,,,Restaurant - Sit-down dining,
2010,4,7,0,0,Colorado,,chicken,,,Banquet Facility (food prepared and served on-site),"chicken, roasted"
2006,1,6,0,0,Pennsylvania,Salmonella enterica,,Schwarzengrund,Confirmed,Unknown,
2004,12,7,0,7,California,Mycotoxins,fungus,,Confirmed,Private home/residence,"mushrooms, unspecified"
2013,6,31,0,5,Iowa,Salmonella enterica,,Enteritidis,Confirmed,Unknown,
1999,10,9,,,Ohio,,,,,Restaurant - other or unknown type; Private home/residence,
1998,10,17,0,2,Minnesota,Salmonella enterica,,Typhimurium,Confirmed,Caterer (food prepared off-site from where served),"pork, roasted"
2008,5,24,0,,Ohio,Norovirus Genogroup II,,unknown,Confirmed,Other (describe in remarks),
2006,7,40,0,0,Georgia,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,salads; glazed carrots
2002,6,26,0,2,Illinois,Salmonella enterica,,Newport,Confirmed,Private home/residence,"pork, roasted"
2004,9,7,0,0,Kansas,,,,,Restaurant - other or unknown type,
1998,8,33,,,Georgia,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - other or unknown type,"pork, bbq"
2007,8,20,0,9,Multistate,Salmonella enterica,cheese,Montevideo,Confirmed,Other (describe in remarks),"shredded cheese, pasteurized"
2014,5,5,0,0,Texas,,,,,Restaurant - Sit-down dining,charro beans
2000,2,2,0,0,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"pizza, meat"
2003,5,9,0,0,Oregon,Norovirus Genogroup I,,,Confirmed,Unknown,
2009,3,23,0,0,Wisconsin,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,
2011,12,25,0,0,Michigan,Norovirus Genogroup II,,GII_4 New Orleans (2009),Confirmed,Caterer (food prepared off-site from where served); Grocery store,focaccia; cheese
2011,12,8,0,0,Florida,,,,,Caterer (food prepared off-site from where served),"pork, roasted; yucca; rice and beans"
2000,4,47,0,11,Multistate,Salmonella enterica,,Poona,Confirmed,Restaurant - other or unknown type; Private home/residence; Grocery store; Long-term care/nursing home/assisted living facility; Other (describe in remarks),cantaloupe
2007,7,16,0,0,Wisconsin,Clostridium perfringens,,,Confirmed,Restaurant - other or unknown type; Other (describe in remarks),"roast beef, other"
2004,3,27,0,0,Wisconsin,Norovirus Genogroup I,,,Confirmed,Religious facility,
1998,5,5,0,0,Kansas,,,,,Restaurant - other or unknown type,
2006,11,18,0,0,South Dakota,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,
2001,2,19,0,1,Virginia,Norovirus Genogroup I,,,Confirmed,Long-term care/nursing home/assisted living facility,
2001,9,4,,,Texas,Salmonella enterica,,,Suspected,Restaurant - other or unknown type,multiple salads
2000,8,3,,,Florida,,fin fish,,,Restaurant - other or unknown type,"fish, grouper, unspecified"
2002,10,2,0,0,Michigan,,,,,Restaurant - other or unknown type,
2008,4,67,0,10,Ohio,Salmonella enterica,,Muenchen,Confirmed,Restaurant - other or unknown type,"salsa, unspecified; rice; beans, unspecified"
2012,4,2,0,0,Washington,Other - Bacterium,,,Suspected,Restaurant - Sit-down dining,chicken and rice
1999,6,25,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2013,8,13,0,0,Puerto Rico,Salmonella enterica,,Mbandaka,Confirmed,Caterer (food prepared off-site from where served),chicken; macaroni salad
2012,2,14,0,0,Kansas,Norovirus Genogroup II,,,Suspected,Private home/residence,
2015,12,19,0,1,Maryland,,,,,Caterer (food prepared off-site from where served),turkey and gravy
2015,2,3,0,0,New York,,,,,Restaurant - Sit-down dining,beef
2000,11,4,,,Florida,,,,,Restaurant - other or unknown type,"soup, wonton; chicken, unspecified; ribs, beef"
2003,6,5,0,0,California,Campylobacter jejuni,,,Confirmed,Caterer (food prepared off-site from where served),"chicken, unspecified"
2000,2,11,,,California,Scombroid toxin,fin fish,,Confirmed,Restaurant - other or unknown type,"fish, escolar"
2006,1,2,0,0,Maryland,,,,,Restaurant - other or unknown type,
2001,3,92,,,Alaska,Staphylococcus aureus,,,Suspected,Unknown,"ham, unspecified; potato salad"
2003,11,10,0,0,Georgia,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2007,3,16,0,0,North Dakota,Norovirus unknown,,,Confirmed,Restaurant - other or unknown type,
2011,2,16,0,0,Minnesota,Norovirus,"peppers, green; tomato",,Confirmed,Other (describe in remarks),"sandwich, submarine"
2002,5,21,0,4,Delaware,Salmonella enterica,,Heidelberg,Confirmed,Restaurant - other or unknown type,"cheese sauce; chicken, buffalo wings"
2000,2,33,,,Michigan,Norovirus Genogroup I,,,Confirmed,,
2010,7,13,0,0,Maryland,,,,,Restaurant - other or unknown type,
2005,5,4,0,0,Illinois,Salmonella enterica,,Thompson,Confirmed,Unknown,
1998,11,4,0,0,Ohio,,,,,Restaurant - other or unknown type,"pizza, mushroom"
2009,1,2,0,0,Florida,Staphylococcus aureus,,,Suspected,Restaurant - Sit-down dining,buffet
1999,9,3,0,0,Florida,Staphylococcus aureus,chicken,,Suspected,Restaurant - other or unknown type,"chicken, buffalo wings"
2006,5,3,0,0,Texas,,,,,Restaurant - other or unknown type,
2009,5,6,0,0,Hawaii,Ciguatoxin,,,Confirmed,,
2006,6,38,0,1,Ohio,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type; Banquet Facility (food prepared and served on-site); Other (describe in remarks),ice
2001,10,2,0,0,Maryland,,,,,Restaurant - other or unknown type,"ground beef, hamburger"
2008,11,3,,0,North Dakota,Campylobacter jejuni,,,Confirmed,,raw milk
2004,11,8,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2004,4,6,0,,Wisconsin,Norovirus Genogroup I,,,Confirmed,Other (describe in remarks),"soup, other fish"
2000,11,32,0,15,Multistate,Hepatitis A,,,Confirmed,Restaurant - other or unknown type,green onion/scallion
2012,3,2,0,0,California,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
1999,5,2,0,0,Michigan,,,,,Restaurant - other or unknown type,
2005,4,2,,,California,Other - Bacterium,,,Suspected,Restaurant - other or unknown type,multiple foods
2003,5,3,0,0,Georgia,Other - Chemical/Toxin,,,Suspected,Restaurant - other or unknown type,
2001,4,3,0,0,Washington,,,,,Restaurant - other or unknown type,
2014,3,3,0,0,Illinois,Salmonella enterica,,,Confirmed,Restaurant - Sit-down dining,
2005,12,15,0,6,Pennsylvania,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - other or unknown type; Unknown,
2006,4,5,0,0,Colorado,Scombroid toxin,fin fish,,Confirmed,Caterer (food prepared off-site from where served),"fish, mahi mahi"
2007,10,2,0,1,Ohio,Norovirus Genogroup II,,unknown,Suspected,Restaurant - other or unknown type,
2001,5,11,0,0,Maryland,,,,,Caterer (food prepared off-site from where served),
2014,10,5,0,1,Puerto Rico,Salmonella unknown,,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2003,12,5,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2010,3,4,0,,North Carolina,,,,,,
2008,9,3,0,0,Ohio,,,,,Restaurant - other or unknown type,"sandwich, submarine"
2014,5,8,0,0,Illinois,Norovirus unknown,,,Suspected,Caterer (food prepared off-site from where served),
2002,1,8,0,0,Michigan,,,,,Restaurant - other or unknown type,
2005,2,2,0,2,Texas,Brucella unknown,,,Confirmed,Other (describe in remarks),"queso fresco, unpasteurized"
2005,11,2,1,2,California,Clostridium botulinum,,,Confirmed,Private home/residence,"salmon, unspecified"
2010,2,1939,,,Multistate,Salmonella enterica,egg,Enteritidis,Confirmed,Restaurant - Sit-down dining; Restaurant - other or unknown type; Private home/residence; Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served),"shell egg, other"
2007,6,5,0,3,Maryland,Salmonella enterica,,Javiana,Confirmed,Grocery store; Other (describe in remarks),"tomato, unspecified; cheese, unspecified; chicken, unspecified; unspecified fruit"
2005,8,41,0,1,New York,,chicken,,,Caterer (food prepared off-site from where served),"chicken, grilled"
1999,10,45,0,0,Multistate,"Escherichia coli, Shiga toxin-producing",leafy green,O157:H7,Confirmed,Restaurant - other or unknown type; Long-term care/nursing home/assisted living facility,"romaine lettuce, unspecified; caesar salad"
2012,9,6,0,2,New York,Salmonella enterica,,Javiana,Confirmed,Restaurant - Sit-down dining,
1998,12,27,0,0,California,,,,,Restaurant - other or unknown type,"lamb, other; chicken, curry"
2001,2,7,0,0,Michigan,,,,,Restaurant - other or unknown type,
2012,2,21,0,0,Tennessee,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2013,6,4,0,0,Wisconsin,Scombroid toxin,yellowfin tuna,,Suspected,Restaurant - Sit-down dining,tuna salad
2000,6,2,,,Florida,,legume; root (eg. potato),,,Restaurant - other or unknown type,"refried beans, unspecified"
2012,11,2,0,0,Colorado,Norovirus unknown,,,Confirmed,Restaurant - Sit-down dining,
2011,2,3,0,0,Colorado,Norovirus unknown,,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2008,2,4,0,2,California,Salmonella enterica,egg,Enteritidis,Confirmed,Private home/residence,raw cookie dough
2009,6,36,0,2,North Dakota,Salmonella enterica,beef,Montevideo,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),taco meat
2009,10,2,0,0,Arizona,,,,,,
2002,2,11,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2006,3,30,0,0,California,Norovirus unknown,,,Suspected,Long-term care/nursing home/assisted living facility,
2001,2,7,,,Florida,,,,,Restaurant - other or unknown type,"seafood dish, unspecified"
2000,4,5,,,California,,,,,Restaurant - other or unknown type,shrimp cocktail
2013,12,9,0,0,Washington,Norovirus unknown,,,Suspected,Restaurant - Sit-down dining,
2002,9,240,0,4,Texas,Shigella sonnei,,,Confirmed,Restaurant - other or unknown type,
2000,8,4,,,Florida,,,,,Caterer (food prepared off-site from where served),"rice, unspecified; chicken, unspecified; gelatin, unspecified"
2004,1,20,0,0,Maryland,Other - Virus,,,Confirmed,Restaurant - other or unknown type,
2012,8,4,0,0,Ohio,Campylobacter unknown,,,Suspected,Private home/residence,"milk, whole milk unpasteurized"
1999,3,20,0,0,Illinois,,,,,Caterer (food prepared off-site from where served),
2003,8,5,0,0,Wisconsin,Campylobacter jejuni,,,Confirmed,Restaurant - other or unknown type,"chicken, baked"
1999,10,34,0,0,New Mexico,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,
1999,3,3,,,Washington,Other - Chemical/Toxin,,,Suspected,Restaurant - other or unknown type,"pizza, unspecified"
2011,1,4,0,0,Puerto Rico,,,,,Restaurant - other or unknown type,
2010,2,4,0,0,Colorado,,sprouts,,,Restaurant - Sit-down dining,sprouts
2007,6,25,0,0,Oregon,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,
2014,6,14,0,1,Michigan,Cyclospora,,,Confirmed,Restaurant - Sit-down dining; Restaurant - other or unknown type; Banquet Facility (food prepared and served on-site),
2002,10,37,,,Missouri,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2007,8,20,0,0,Michigan,Norovirus Genogroup II,,unknown,Confirmed,Office/indoor workplace,
2010,10,6,0,0,Minnesota,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,caesar salad
2003,3,3,0,0,Alabama,,,,,Restaurant - other or unknown type,"omelette; turkey, unspecified; egg-battered foods, unspecified"
2004,2,7,0,0,Georgia,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2001,10,4,0,0,Washington,,,,,Private home/residence,"crab, steamed"
2013,5,30,0,0,Michigan,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2014,3,7,0,0,Wisconsin,Norovirus Genogroup II,,GII_4 Sydney (2012),Confirmed,Restaurant - Sit-down dining,
2015,4,7,0,0,Minnesota,Norovirus Genogroup I,,GI_2,Confirmed,Grocery store,
2008,2,9,0,0,Maryland,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,black bean and beef nachos
1998,8,3,0,0,Florida,Scombroid toxin,fin fish,,Suspected,Restaurant - other or unknown type,"fish, dolphin"
1999,8,2,0,0,Florida,Bacillus cereus,,,Confirmed,Restaurant - other or unknown type,"chicken, buffalo wings"
2006,5,3,,,Florida,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"spring rolls, unspecified"
2001,11,3,,,Florida,Shigella sonnei,,,Confirmed,Restaurant - other or unknown type,"beef, other"
1998,8,2,0,1,Florida,,,,,Restaurant - other or unknown type,"chicken, unspecified; ribs, pork"
2000,9,26,0,0,California,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2008,4,4,0,0,Kansas,,,,,Restaurant - other or unknown type,
2000,5,10,,1,California,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2015,12,2,0,0,Colorado,Bacillus cereus; Staphylococcus aureus,,,Suspected; Suspected,Restaurant - Sit-down dining,"ribs, bbq; tea"
2014,3,8,0,0,Florida,,,,,Restaurant - Sit-down dining,"fish, other"
1998,4,18,0,0,Minnesota,Norovirus unknown,,,Suspected,Restaurant - other or unknown type; Private home/residence,
2014,4,64,0,0,Virginia,Norovirus Genogroup II,,unknown,Suspected,School/college/university,
2006,11,12,0,0,Tennessee,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,
2000,11,14,0,0,Illinois,Clostridium perfringens; Bacillus cereus,,,Suspected; Suspected,,
2005,5,7,0,0,Tennessee,Hepatitis A,,,Confirmed,Restaurant - other or unknown type,
2000,12,31,0,1,Washington,Norovirus Genogroup I,"fruit, unspecified",,Confirmed,Other (describe in remarks),"mixed vegetables, unspecified; pie, pumpkin; waldorf salad"
1998,7,4,0,0,Washington,,,,,Restaurant - other or unknown type,
2005,6,44,0,0,New Hampshire,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2012,1,3,0,0,Ohio,Campylobacter unknown,,,Suspected,Restaurant - Sit-down dining,
2001,11,58,0,0,Florida,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"ice; pasta, unspecified"
2012,3,19,0,5,Missouri,"Escherichia coli, Shiga toxin-producing","milk, whole milk unpasteurized; ground beef",O157:H7,Confirmed,Private home/residence; Other (describe in remarks),"milk, whole milk unpasteurized; ground beef"
1999,7,18,,11,Ohio,"Escherichia coli, Shiga toxin-producing",leafy green,O157:H7,Confirmed,Restaurant - other or unknown type,coleslaw
2004,12,119,0,2,Illinois,Norovirus Genogroup I,,,Confirmed,Other (describe in remarks),
2007,10,13,0,4,Maine,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - other or unknown type,
2002,1,4,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"ground beef, hamburger"
2003,5,10,0,0,Connecticut,Norovirus Genogroup I,,,Confirmed,Caterer (food prepared off-site from where served),
2011,12,5,0,0,Arizona,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,
2003,1,18,,,California,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
1998,1,115,0,0,Massachusetts,,,,,Other (describe in remarks),
2001,10,79,,,Florida,Clostridium perfringens,,,Suspected,Caterer (food prepared off-site from where served),"gravy, beef; crab dip"
2012,8,2,0,0,Colorado,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2006,4,9,0,0,Florida,,pork,,,Restaurant - other or unknown type,"pork, unspecified"
2007,9,12,,1,Maine,,,,,,
2012,10,5,0,0,Michigan,,,,,Restaurant - Sit-down dining,
2014,3,6,0,0,Wisconsin,Norovirus Genogroup I,,GI_3B,Confirmed,Private home/residence,
2005,2,10,,,Maine,,,,,,
2003,10,2,2,2,Utah,Clostridium botulinum,,,Confirmed,Private home/residence,
2004,2,3,0,0,Ohio,,,,,Restaurant - other or unknown type,"sandwich, beef"
1998,5,27,0,6,Indiana,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Restaurant - other or unknown type,coleslaw
2006,7,4,0,0,New York,Vibrio parahaemolyticus,"clams, raw",,Confirmed,Restaurant - other or unknown type,"clams, raw"
1998,7,6,,,Texas,,,,,,
2007,11,7,0,2,New York,Salmonella enterica,,Typhimurium var Cope,Confirmed,Restaurant - other or unknown type,
2007,10,67,0,5,Georgia,Salmonella enterica,pork,Newport,Confirmed,"Caterer (food prepared off-site from where served); Fair, festival, other temp or mobile services","pork, bbq"
2000,4,2,0,0,Washington,Clostridium perfringens,,,Suspected,Restaurant - other or unknown type,"pork, bbq"
2012,1,2,0,0,Florida,Salmonella unknown,beans,,Suspected,Restaurant - Sit-down dining,"beans, unspecified"
2006,12,24,0,2,Florida,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,ice
2008,3,13,0,0,South Carolina,Norovirus unknown,,,Confirmed,Private home/residence,
1998,7,7,0,0,Illinois,Shigella sonnei,,,Confirmed,Restaurant - other or unknown type,
2015,3,2,0,0,Ohio,Norovirus Genogroup II,,GII_4 Sydney (2012),Suspected,Restaurant - Sit-down dining,
2005,5,30,0,0,Arizona,Norovirus Genogroup II,,other,Confirmed,Caterer (food prepared off-site from where served),
2009,6,43,0,0,Illinois,,,,,Caterer (food prepared off-site from where served),
2014,1,4,0,0,Indiana,Staphylococcus unknown,,,Suspected,Restaurant - Sit-down dining,
2015,5,2,0,1,Utah,Hepatitis A,,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2002,4,2,0,0,California,Other - Chemical/Toxin,,,Suspected,Restaurant - other or unknown type,
2001,9,6,,,Maryland,,,,,Restaurant - other or unknown type,"sushi, unspecified"
2002,4,25,0,0,Indiana,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"other cheese, pasteurized"
2004,9,3,0,0,Illinois,,,,,Restaurant - other or unknown type,
2005,12,12,0,0,Kansas,,,,,Restaurant - other or unknown type,
2002,10,4,0,0,Alabama,,,,,"Fair, festival, other temp or mobile services","soda, unspecified"
2003,1,4,0,0,Maryland,,,,,Restaurant - other or unknown type,pork fried rice
2009,11,6,0,0,Arizona,,,,,,
2004,11,23,0,8,California,Salmonella enterica,turkey,Typhimurium,Confirmed,Private home/residence; Other (describe in remarks),"turkey, unspecified"
2002,11,46,,,New Jersey,,,,,Restaurant - other or unknown type,"stuffing, unspecified"
2014,8,3,0,0,Texas,,shrimp; chicken,,,,"shrimp, unspecified; chicken, unspecified"
2001,7,2,,,Florida,,,,,Restaurant - other or unknown type,"taco, beef"
2010,1,10,5,10,Texas,Listeria monocytogenes,,,Confirmed,,"celery, unspecified"
1999,9,12,0,0,California,,,,,Private home/residence,
2007,1,70,0,0,Maine,Norovirus Genogroup I,,,Suspected,,
2008,1,17,0,1,Illinois,,,,,Restaurant - other or unknown type,
2002,5,6,0,0,Kansas,,,,,Restaurant - other or unknown type,
2009,6,3,0,0,Illinois,,,,,Restaurant - Sit-down dining,
2013,3,8,0,0,New Jersey,,,,,Caterer (food prepared off-site from where served),
2006,4,27,0,0,North Dakota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"chicken, nuggets/fingers"
2005,10,2,0,0,Ohio,,,,,Restaurant - other or unknown type,
2001,7,34,0,2,Michigan,Salmonella enterica,,,Confirmed,Restaurant - other or unknown type; Office/indoor workplace,egg salad/egg salad sandwich; tuna salad
2012,5,56,0,5,New York,Staphylococcus aureus; Bacillus cereus,,,Confirmed; Suspected,Private home/residence; Religious facility,"rice, sticky"
2014,4,2,0,0,New York,Scombroid toxin,tuna,,Confirmed,Private home/residence,yellow fin tuna
1998,4,2,,,Maryland,,,,,Restaurant - other or unknown type,macaroni and cheese
2002,3,2,0,0,California,Bacillus cereus,,,Suspected,Restaurant - other or unknown type,
2006,11,2,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2000,3,2,,2,Florida,,,,,Restaurant - other or unknown type,"ground beef, hamburger; caesar salad"
1999,9,16,0,0,Iowa,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"sandwich, submarine"
2000,10,4,0,0,Maryland,,,,,Restaurant - other or unknown type,
2000,7,14,,2,Florida,,milk,,,Camp,"whole milk, pasteurized"
1999,8,11,,,Washington,Clostridium perfringens,,,Suspected,Caterer (food prepared off-site from where served),
1999,8,9,,,New Jersey,,,,,Private home/residence,
2004,4,8,0,0,Vermont,,,,,Other (describe in remarks),
2008,12,7,0,0,California,Norovirus unknown,,,Suspected,Restaurant - other or unknown type,
2013,2,3,0,0,Georgia,Norovirus unknown,,,Suspected,Restaurant - Sit-down dining,
1998,5,100,,,California,,,,,Restaurant - other or unknown type,"seabass, unspecified; oysters, unspecified"
2000,5,6,,,Michigan,,,,,,
2009,6,12,0,0,New Mexico,,,,,,
2000,3,26,,,New York,,,,,Caterer (food prepared off-site from where served); Other (describe in remarks),multiple foods
2014,12,8,0,0,Iowa,Norovirus unknown,,,Confirmed,Restaurant - Sit-down dining,
2008,2,26,0,4,New York,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type; Private home/residence,
1999,6,22,,,Massachusetts,,,,,Restaurant - other or unknown type,
2008,3,4,0,1,Arizona,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2009,5,49,,,Wisconsin,,,,,,
2004,3,18,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2013,9,23,0,7,Illinois,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - Sit-down dining,"refried beans, unspecified"
2005,3,4,0,0,Ohio,,,,,Restaurant - other or unknown type,"ground beef, other"
2007,7,21,0,0,New York,Norovirus unknown,cheese; bread,,Confirmed,Other (describe in remarks),"other cheese; bread, white"
2012,1,10,0,0,Illinois,,,,,Restaurant - Sit-down dining; Private home/residence; Other (describe in remarks),
2000,5,17,,,Michigan,,,,,Restaurant - other or unknown type,
2013,3,6,0,1,Michigan,,,,,Restaurant - Sit-down dining,
2011,3,78,0,3,Florida,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,shredded lettuce
2011,4,12,0,0,Pennsylvania,,,,,Banquet Facility (food prepared and served on-site),
2001,7,35,,,Florida,Norovirus unknown,,,Confirmed,Restaurant - other or unknown type,multiple foods
2002,6,19,0,1,Washington,Salmonella enterica,,Brandenburg,Confirmed,Private home/residence,multiple foods
2008,11,66,0,16,New York,Salmonella enterica,chicken,Enteritidis,Confirmed,Religious facility,specialty/ethnic dishes
2009,10,5,0,0,New York,Salmonella enterica,egg,Enteritidis,Confirmed,Restaurant - Sit-down dining,caesar dressing
1999,1,4,,,Ohio,,,,,Restaurant - other or unknown type,
2008,9,4,0,0,West Virginia,,,,,Restaurant - other or unknown type,
2002,5,10,0,1,Massachusetts,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - other or unknown type,
2004,3,3,0,0,Illinois,,,,,Restaurant - other or unknown type,
2012,10,17,0,2,New Mexico,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - Sit-down dining,macaroni and cheese
2000,10,5,0,0,Illinois,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,lettuce-based salads unspecified
2005,7,52,0,0,California,Norovirus Genogroup I,,,Confirmed,Long-term care/nursing home/assisted living facility,
2006,11,21,,,Florida,Norovirus Genogroup II,,unknown,Confirmed,Private home/residence,
1999,8,30,0,0,Multistate,Salmonella enterica,,Enteritidis,Confirmed,Other (describe in remarks),
2002,7,3,0,0,Illinois,Norovirus Genogroup I,,other,Suspected,Restaurant - other or unknown type,
2002,8,3,,,Michigan,,,,,Restaurant - other or unknown type,"chow mein; stir-fry, beef"
2010,12,2,0,0,Florida,,,,,Restaurant - Sit-down dining,
2011,12,8,0,1,Oregon,Norovirus Genogroup II,,,Confirmed,Private home/residence,
2004,2,3,0,0,Washington,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type; Grocery store,"sandwich, deli"
2001,7,2,,,Florida,,,,,Restaurant - other or unknown type,"wonton, unspecified; rice, unspecified; shrimp, unspecified"
2008,7,13,0,1,Ohio,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,pizza
2001,5,297,0,0,Connecticut,Clostridium perfringens,,,Confirmed,Restaurant - other or unknown type,"steak, sirloin; potato, mashed"
2006,2,6,0,0,Tennessee,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2007,12,15,0,0,New York,,,,,Restaurant - other or unknown type,chicken and broccoli
2007,6,94,0,1,Maryland,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,tap water
2000,12,10,0,0,Oregon,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2001,9,4,,1,Florida,Scombroid toxin,,,Confirmed,Restaurant - other or unknown type,"fish, escolar"
2002,4,9,0,0,Michigan,,,,,Restaurant - other or unknown type,
2003,1,50,0,0,California,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2009,10,4,0,0,South Carolina,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2000,3,15,,,Kansas,,,,,Restaurant - other or unknown type,
